test_case	id	source	language	text	task1	task2
EXIST2021	003801	twitter	es	@Carlabernaal @joelfernandezz_ No importa que no te lleves con el si te quiere no pasa nada a mí me pareces una chavala de puta madre y la gracia es que casi no hemos hablado	non-sexist	non-sexist
EXIST2021	003802	twitter	es	@PotiPotiInLove Deberías leer más sobre Feminismo y enterarte de qué va todo esto. Te sigo desde hace mucho y sé que si lo entendieras estarías de acuerdo con ella, quizás no en el modo de expresarse, pero sí en lo que defiende.	non-sexist	non-sexist
EXIST2021	003803	twitter	es	"Hilo #MGTOW. Actrices que antes de los 30 años ni de broma volteaban a ver al ""chico bueno""; hasta que cumplen más de 30 y entonces se dan cuenta... ya cansadas del carrusel patán y con el tiempo en contra, o se apresuran a amarrar a un buen simp o...https://t.co/zl8GyFhCEa"	sexist	stereotyping-dominance
EXIST2021	003804	twitter	es	@evasanztoro Jajjaj Qué perra!Nunca voy a entender, el por q las mujeres creen q son las únicas vulnerables ante situaciones de riesgo? Y los niños? Y los animalitos? Y q no saben q también hay casos de hombres acosados y/o abusados sexualmente? No importa edad, género o especie! Empatía pls	sexist	ideological-inequality
EXIST2021	003805	twitter	es	Te tapó el nombre pa que no te siga ninguna zorra de acá dice jajajajaja	sexist	misogyny-non-sexual-violence
EXIST2021	003806	twitter	es	Un claro ejemplo de machism0, se piensa que por ser hombre le va a explicar cómo ser feminista a una mujer https://t.co/LEUCSm3D2z	sexist	ideological-inequality
EXIST2021	003807	twitter	es	#DARKDREAMSDToca el turno de endulzar sus corazones con estas señoritas! Por favor presten atención y no se pierdan de las princesas de TWO TIMES! https://t.co/bCDstiXss5	non-sexist	non-sexist
EXIST2021	003808	twitter	es	Mañana mismo me vuelvo al Leroy Merlín a devolver todos los regalos que he comprado para mis chicas. ¡¡Gracias, @Mine_Jam_ !! https://t.co/MbZGZsgz8m	non-sexist	non-sexist
EXIST2021	003809	twitter	es	@lolilalesca @ChCarreraLeal @Frente_Amplio No, sólo queda seguir luchando para cambiar toda esta injusticia!! Es verdad que mucha gente merece, y justifica, esto que está pasando, pero debemos seguir adelante, por nuestros hijos y los de ellos. Hasta la langosta pasa, esto pasará!!!	non-sexist	non-sexist
EXIST2021	003810	twitter	es	Linda tarde a todas chicas y bendiciones ☺	non-sexist	non-sexist
EXIST2021	003811	twitter	es	Una mujer empoderada. https://t.co/BVODvvQeYH	non-sexist	non-sexist
EXIST2021	003812	twitter	es	@baudomine @unholy_bat ISSSO REFUTA ELAS!!!!1 #MGTOW	non-sexist	non-sexist
EXIST2021	003813	twitter	es	@CHATYUSHA @im_reborn3d No. Es como el manspreading. Solo hacia un lado.	non-sexist	non-sexist
EXIST2021	003814	twitter	es	Sumisa y reprimida. Así era el papel de la mujer en la Antigua Grecia... https://t.co/jqP5pOd3Lc	sexist	stereotyping-dominance
EXIST2021	003815	twitter	es	"@RiveraBass @juanrallo Me has cuestionado por ser del ""Partido que no ofende"", cada quien es libre de NO ofenderse, yo no intento ofenderte, solo te digo lo que pareces, un mono con una hojilla porque no tienes ni puta idea de lo que respondes, solo ondeas la hojilla y ya está. Duermase y quédese asi"	non-sexist	non-sexist
EXIST2021	003816	twitter	es	El Supremo confirma más de 3 años para el militar y el guardia civil de 'La Manada' por grabar la violación en Pamplona #LaManada  https://t.co/hjenVqqBVL	non-sexist	non-sexist
EXIST2021	003817	twitter	es	"@AnaPofemi_nista Que el cargo de ministra de igualdad lo ostente una chica cuyo único mérito es ser ""la mujer de..."" le hace MUCHO daño al feminismo. Lo peor es que le dan alas a VOX."	sexist	ideological-inequality
EXIST2021	003818	twitter	es	El Tribunal Supremo (TS) ha resuelto que «no ha lugar» al recurso de casación. #Supremo #Tribunales #Justicia #LaManada #Sentencia #Nacional https://t.co/lVQJUGCdsO	non-sexist	non-sexist
EXIST2021	003819	twitter	es	Pregunta sería: xk en la mayoría de los videoclips las mujeres salen en bikinis o menos ropa pero los tíos abrigaos con un polar?	non-sexist	non-sexist
EXIST2021	003820	twitter	es	Y la frigida no vino?	sexist	stereotyping-dominance
EXIST2021	003821	twitter	es	@rosssitablanca @zascas7 Bueno...  lagartona...  https://t.co/B4tLKAc4bp	sexist	misogyny-non-sexual-violence
EXIST2021	003822	twitter	es	Lo más honesto que pueden hacer las mujeres es decir que tienen poder sexual sobre los hombres y admitir que ellas lo saben y lo usan a su favor. Esa basura de que “no lo hago para los hombres” es bullshit. Esa gymnasia mental las tiene deprimidas.	sexist	objectification
EXIST2021	003823	twitter	es	Hay un hombre caído que a ti te necesita	non-sexist	non-sexist
EXIST2021	003824	twitter	es	@feIixpov Yo como novio:- Sexo todos los días, todas las horas que pueda.- Viajar.- Me gusta cocinar cosas ricas.- Sales con tus amigos y yo con los míos de fiesta y luego follar borrachos.- Te apoyo en lo importante.- Espacio vital.- 0 celos.	sexist	objectification
EXIST2021	003825	twitter	es	ella: todos tenemos privilegioalso ella: las mujeres no tienen privilegio pero los hombres de color sí	sexist	ideological-inequality
EXIST2021	003826	twitter	es	estoy enamorada d esta mujer Abandono mi amor a los hombres para dedicarme a ser la esposa d leebada	non-sexist	non-sexist
EXIST2021	003827	twitter	es	@NoVayanaLlorar Tan indignada con los pobres y a la vez quieren que se mueran pa-te-ti-ca  feminazi tenía que ser	sexist	ideological-inequality
EXIST2021	003828	twitter	es	@naia_sub Eres una mujer muy obediente y muy sexy preciosa	sexist	stereotyping-dominance
EXIST2021	003829	twitter	es	la vieja tiene 15 años y está que salta en una pata por estar embarazada? mmmm	sexist	stereotyping-dominance
EXIST2021	003830	twitter	es	porq vrg le das like a todos sus tweets psh zorra	sexist	misogyny-non-sexual-violence
EXIST2021	003831	twitter	es	@LegendarioSise ENSEÑA LAS TETAS	sexist	objectification
EXIST2021	003832	twitter	es	@Rubea_27 Si vos sos fea, entonces yo no sé que soy.	non-sexist	non-sexist
EXIST2021	003833	twitter	es	Las mujeres no te pueden amar de la manera en que tú quieres ser amado .Ella simplemente no lo pueden hacer. Ella no te ven por lo que tú realmente eras ellas te ven por lo que tú puedes hacer por ellas y no necesariamente económicamente Las emociones que le hace sentir a ellas.	sexist	ideological-inequality
EXIST2021	003834	twitter	es	@abiortigosa FUA si estas gorda que le espera al mundo	sexist	objectification
EXIST2021	003835	twitter	es	@albinoperezrod1 @Pam_Angela_ @MiliBerkana @elsaruizcomica @COGAM Muchos andamos tan arrepentidos, conozco a varias que hasta gasolina han puesto para pegar carteles, las mujeres de mi familia, por eso me revienta aún más	non-sexist	non-sexist
EXIST2021	003836	twitter	es	Si no nos decidimos por éste estamos perdidos y nuestra decadencia va a ser definitiva. - El marxismo le ha hecho mucho daño a la humanidad y lo sigue haciendo con los sucedáneos de la lucha de clases que propone: feminismo, ecologismo, ambientalismo, indigenismo,	sexist	ideological-inequality
EXIST2021	003837	twitter	es	@Susamj @Archel_6 @PabloEchenique @IreneMontero Este hombre necesita un tratamiento, no ya hormonal, sino psiquiátrico.	non-sexist	non-sexist
EXIST2021	003838	twitter	es	La fuerza y empuje de muchas mujeres conseguirá que sea ley en todo el mundo: solo sí es sí.https://t.co/anpdT7RXh7 https://t.co/h34xovsnj6	non-sexist	non-sexist
EXIST2021	003839	twitter	es	No quiero dejar de agradecer a los miembros de la Policía y del Ejército que se encuentran por esta localidad, mi reconocimiento a esos Hombres y Mujeres valientes que día a día exponen sus vidas para brindarnos seguridad a todos los Salvadoreños. https://t.co/7hAfwdkurR	non-sexist	non-sexist
EXIST2021	003840	twitter	es	@Rubiapeleona Mujer florero,sumisa	sexist	stereotyping-dominance
EXIST2021	003841	twitter	es	@nat_solis @El_Mati_Fernand @Cooperativa Presisamente por eso es opinion feminazi	sexist	ideological-inequality
EXIST2021	003842	twitter	es	@Cazatalentos @Cecilio_Martos Hace un año hubo un concierto de la polla en el mismo sitio con 15mil personas, pero como gusta el victimismo.	non-sexist	non-sexist
EXIST2021	003843	twitter	es	He vuelto zorras https://t.co/ykITxnZivZ	sexist	misogyny-non-sexual-violence
EXIST2021	003844	twitter	es	@CuentaMister @Zona_Blaugrana No hay afición más llorona, plañidera y nenaza que la culerda  https://t.co/zOmWhY7rk0	non-sexist	non-sexist
EXIST2021	003845	twitter	es	@RotelippenSpain @ElenaArmesto Tampoco se olviden de que queremos exterminar al hombre o volverlos nuestros esclavos  (Esto es según muchos varones, porque obviamente ellos saben más de feminismo que nosotras las feministas).	sexist	ideological-inequality
EXIST2021	003846	twitter	es	Y ponen lo que se les canta el orto* tantas palabras te ibas a comer gorda puta	sexist	misogyny-non-sexual-violence
EXIST2021	003847	twitter	es	Si manada de hijos de las mil putas ahora sí... Pero hace 15 días con las elecciones cuántos casos saldrán de sus mítines y reuniones a cielo abierto sin control??? Ahora sí a joderse todos por ustedes.... Parranda de come mierda https://t.co/2wMl22C6ex	non-sexist	non-sexist
EXIST2021	003848	twitter	es	lisa es la que siempre se preocupa y está para darle amor a los demás, no sería capaz de lastimar a nadie y es extremadamente talentosa, todo lo que hace le sale perfecto y todo lo que tiene ahora es por su esfuerzo, se merece todoLISA YOU ARE LOVED 블랙핑크 리사 #리사 #LISA	non-sexist	non-sexist
EXIST2021	003849	twitter	es	CIBERACTIVISMO FEMINISTA #ViajoSola #MeToo #LaManada #8M #AMiTambien #FuimosTodas https://t.co/s2P2TGikbi a través de @goconqr	non-sexist	non-sexist
EXIST2021	003850	twitter	es	Esa conexión que formas con un random xq dice que hatea a un campeón y yo le digo que odio mi vida y me dice #metooTe amo	non-sexist	non-sexist
EXIST2021	003851	twitter	es	Siento que me falta mucho por aprender sobre feminismo, colonización, racismo, transfobia, política, entre otros.Pero también siento que a comparación de tres años he aprendido mucho y me siento orgullosa.	non-sexist	non-sexist
EXIST2021	003852	twitter	es	@peyo54 @CorreAlexandra @danny8002 Generación reprimida nos llama de cristal	non-sexist	non-sexist
EXIST2021	003853	twitter	es	Pese a todo esto queremos transmitiros que próximamente os informaremos de otra recogida ya que no vamos a permitir que una iniciativa solidaria se vea reprimida en dos ocasiones.¡Usera es de su gente solidaria y no de quien solo viene a reprimir!	non-sexist	non-sexist
EXIST2021	003854	twitter	es	¿cómo estás vestida hoy? — Pantalón de vestir negro, blusa blanca y zapatitos negros. El look de una mujer empoderada trabajadora.  https://t.co/dPGNYaHJkA	non-sexist	non-sexist
EXIST2021	003855	twitter	es	@Sabrillosa @aguedegue @peyo54 @CorreAlexandra @danny8002 DEFINASE, por que si sale a decir que apoya algo es por que lo apoya en todo, no solo cuando le sale del orto hacerlo, por que solo se mira como una estupid+.Claro que chiste que nos llamen generación de cristal, ellos siendo la generación de semento y reprimida. https://t.co/vsuazyd4sF	non-sexist	non-sexist
EXIST2021	003856	twitter	es	panorama economico negro para 2021https://t.co/xPIkI4XBz9	non-sexist	non-sexist
EXIST2021	003857	twitter	es	lo peor es que la seguía porque twitteaba un montón de cosas interesantes sobre el feminismo radical, pero no puedo seguir a alguien que piensa así de mis favs, lo siento mucho	non-sexist	non-sexist
EXIST2021	003858	twitter	es	A las mujeres lee pica ese culo definitivamente, odio al gremio	sexist	misogyny-non-sexual-violence
EXIST2021	003859	twitter	es	No voy a generalizar y decir que las mujeres son subnormales, las feministas de corchopan que han leido 4 tweets y desarrollan un odio hacia los hombres de forma automatica son subnormales, en la pagina de la rae puedes buscar lo que significan las palabras de mas de tres silabas https://t.co/xDJK5paoIS	sexist	ideological-inequality
EXIST2021	003860	twitter	es	@Pankevidu @Claudiashein @locatel_mx Ellos no pagan sueldos ni impuestos y solo incrementan el contagio, si van a cerrar que sea parejo para que verdaderamente baje la pandemia y no solo pasen a fregar a los que verdaderamente sostienen la economía	non-sexist	non-sexist
EXIST2021	003861	twitter	es	Y mi playera dice feminazi, hola vecina.	non-sexist	non-sexist
EXIST2021	003862	twitter	es	@lxnamcnguante ——Esperó que la chica tomase una decisión sonriendo de manera amplia por toda la situación. Como el kebab quedaba detrás de ella se acercó un poco más para poder susurrar cerca de su oído——. En ese caso, la salsa del kebab es muy escurridiza y guarra. ——Se separó para encaminarse	non-sexist	non-sexist
EXIST2021	003863	twitter	es	@AlvArrCarlos Que no podamos entender a las mujeres las vuelve más atractivas, están usando sus artes, te obligan a usar tu inteligencia, activar nuestras neuronas espejo	sexist	stereotyping-dominance
EXIST2021	003864	twitter	es	hace tiempo quería escribir algo sobre las mujeres del hollywood previo a la censura, y al fin lo hice aquí algunas reflexiones sobre las estrellas del cine clásico y su relevancia para entender la representación con perspectiva de género: https://t.co/sH6FbKbjrF @lajugueramag https://t.co/DNO3gWF2at	non-sexist	non-sexist
EXIST2021	003865	twitter	es	A día de hoy sigo sin entender por que las mujeres suben videos haciendo muecas. Bueno sigo sin entender a las mujeres en general.	sexist	stereotyping-dominance
EXIST2021	003866	twitter	es	Esta mujer no está bien, tiene un trauma y puedo entenderlo. Tener por pareja a un porrero, borracho (ver vídeos), machista, odioso, ególatra, dictador e incluso agresor y que gusta azotar a las mujeres hasta hacerlas sangrar le ha pasado factura. https://t.co/BHVpfzCUll	non-sexist	non-sexist
EXIST2021	003867	twitter	es	me quiero follar al osito bimbo, sus deliciosas curvas me excitan demasiado, tanto que me hacen llegar al orgasmo de solo verlas, me gustaría darle unas fuertes nalgadas a sus blancas y suaves pompas joder me tienes demente ni puedo verte en el supermercado porque se me pone dura	non-sexist	non-sexist
EXIST2021	003868	twitter	es	@DemDFire Guarda esas zarpas, lagartona.	sexist	misogyny-non-sexual-violence
EXIST2021	003869	twitter	es	lo q más me rompe los ovarios de los “””aliados””” es q creen q por decir si a todo cuando hablamos de feminismo se borra todo lo q hicieron antes, piensan q por “estar de acuerdo” con el movimiento se olvida todo, como si no hubiesen hecho mierda a más de 1 mina, los detesto	non-sexist	non-sexist
EXIST2021	003870	twitter	es	Claro ejemplo de que el feminismo es nefasto https://t.co/oJck51kdXG	sexist	ideological-inequality
EXIST2021	003871	twitter	es	@Mateo_RMCF @FuriaCule20 Aja lo que tu digas, y te recuerdo que el Barca estaba por violar al Madrid en el Clasico de no haber sido por ese penal inventado	non-sexist	non-sexist
EXIST2021	003872	twitter	es	Pero qué me estás contando, si los cuentos infantiles están plagados de perras, cerdas, zorras y víboras. https://t.co/724HKW2DNr	sexist	misogyny-non-sexual-violence
EXIST2021	003873	twitter	es	Sumisa y reprimida. Así era el papel de la mujer en la Antigua Grecia... https://t.co/ZHTSw5nKxn	sexist	stereotyping-dominance
EXIST2021	003874	twitter	es	#ConciertoNavideñoRadioCentro¡No te pierdas lo mejor del Concierto Navideño Radio Centro desde casa!La cita son los próximos días 24 y 25 de diciembre, un evento para disfrutar en compañía de la familia.Da clic aquí para obtener tus boletos   https://t.co/BT9mTnNSAz https://t.co/808s1nW8TX	non-sexist	non-sexist
EXIST2021	003875	twitter	es	Gus_con_b Joder papu se ha cabreado con lo del patrulla. Igual me suda la polla.	non-sexist	non-sexist
EXIST2021	003876	twitter	es	Nose si estoy con el período o embarazada, que hp mal humor! Señor hazme la caridad!! https://t.co/gom6YN9aMz	non-sexist	non-sexist
EXIST2021	003877	twitter	es	@_art3mis4__ @zafiroysh @Atlasscarface @soubratz @lienzosrjz_ @vozeure @emoticw @nightmareuww @rosesduart @fiorisetries @goretxa @sexcidiooo @DYSTOPOETTRY @maafoda @itsaudrexy @torturadosss @trashclip Tanto tiempo, señorita, ¿cómo están los niños? ndkdjdkdk, claro que no es una indirecta.@Atlasscarface hazme tía que yo no puedo ser mamá.	non-sexist	non-sexist
EXIST2021	003878	twitter	es	Yo peleo mucho, me encanta pelear. Pero JEBUS, la cuarentena aburrió mucho a las personas por lo que veo, que de cualquier cosa sacan bardo... sobre todo los que se creen famosos por hacer videos. Está para comer pochoclos. Ni hablar las que se escudan en el feminismo para atacar	non-sexist	non-sexist
EXIST2021	003879	twitter	es	@FMCREM @NoticiasCaracol Pues hasta yo sé los pondría a la marimacho de ClaudiaPor populista y arribistaPero no con palomitaLa verdad no me gusta mucho la forma tan delicada que tiene de sacarse los mocosYo creo que a la vieja nunca le enseñaron que existe una cosa que se llama pañuelo.... https://t.co/c4F9CukFoh	sexist	misogyny-non-sexual-violence
EXIST2021	003880	twitter	es	HOY EN EL BLOG (Día 1299): Llegó el momento de la degradante ejecución del último gran rebelde: Francisco Hernández Girón. La vida de su mujer, DOÑA MENCÍA DE ALMARAZ, cambió radicalmente.https://t.co/qTU53MwMx4 https://t.co/ybhP1Dh78H	non-sexist	non-sexist
EXIST2021	003881	twitter	es	María Sánchez gana el VI Premio Rosario Valpuesta por un trabajo sobre prensa andaluza ante el caso #LaManada https://t.co/JExio4x3qe	non-sexist	non-sexist
EXIST2021	003882	twitter	es	@iRaven_I_I Cambio dos podemitas por cada rubia tonta que manden.	sexist	stereotyping-dominance
EXIST2021	003883	twitter	es	@TrevorSanta1 @Romertinaj Lo que ud está explicando es el Manspreading	non-sexist	non-sexist
EXIST2021	003884	twitter	es	DISPONIBLE solo SÁBADO con PROMO Me encanta platicar un poquito para conocer un poco de la persona que está a mi lado y poco a poco que fluya todo lo demás ..Puedo atender muy pocas veces a la semana y si te gusta ser y/o hablar vulgar te recomiendo que busques otra chica  https://t.co/07wkTFJ45b	non-sexist	non-sexist
EXIST2021	003885	twitter	es	No puedo vivir bien cuando existe un hombre tan perfecto como henry cavill	non-sexist	non-sexist
EXIST2021	003886	twitter	es	@senkosanuwu1 Sí, tiene mazacuata. La rubia tonta engaña. Ja, ja, ja.	sexist	stereotyping-dominance
